"filename", "language", "JavaScript", "CSS", "XML", "YAML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\Server\WebRTCHelper.js", "JavaScript", 233, 0, 0, 0, 0, 0, 0, 0, 45, 278
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\Socials.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 4, 8, 50
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\chatclient.js", "JavaScript", 302, 0, 0, 0, 0, 0, 0, 129, 119, 550
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\join-to-chat.css", "CSS", 0, 116, 0, 0, 0, 0, 0, 0, 1, 117
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\join-to-chat.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 6, 59
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\join-to-video-chat.css", "CSS", 0, 248, 0, 0, 0, 0, 0, 0, 1, 249
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\join-to-video-chat.js", "JavaScript", 255, 0, 0, 0, 0, 0, 0, 0, 14, 269
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\chat-preview.css", "CSS", 0, 53, 0, 0, 0, 0, 0, 0, 3, 56
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\chat-preview.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\event-card.css", "CSS", 0, 154, 0, 0, 0, 0, 0, 0, 5, 159
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\event-card.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 16, 83
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\footer-b-g.css", "CSS", 0, 257, 0, 0, 0, 0, 0, 0, 3, 260
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\footer-b-g.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 7, 102
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\h-line.css", "CSS", 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\h-line.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\header.css", "CSS", 0, 103, 0, 0, 0, 0, 0, 0, 4, 107
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\header.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 8, 98
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\message-received.css", "CSS", 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\message-received.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\message-sent.css", "CSS", 0, 36, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\message-sent.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\navigation-links.css", "CSS", 0, 61, 0, 0, 0, 0, 0, 0, 12, 73
